"u^n-2_i,j","u^n-2_i-1,j","u^n-2_i+1,j","u^n-2_i,j-1","u^n-2_i,j+1","u^n-1_i,j","u^n-1_i-1,j","u^n-1_i+1,j","u^n-1_i,j-1","u^n-1_i,j+1","u^n_i,j","u^n_i-1,j","u^n_i+1,j","u^n_i,j-1","u^n_i,j+1","u^n+1_i,j","u^n+1_i-1,j","u^n+1_i+1,j","u^n+1_i,j-1","u^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.64340e-06,1.34317e-04,2.38075e-07,5.63969e-06,5.64436e-06,4.71229e-04,2.22323e-03,3.61092e-05,4.70930e-04,4.71309e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.64436e-06,1.34326e-04,2.38161e-07,5.64340e-06,5.64340e-06,4.71309e-04,2.22376e-03,3.61193e-05,4.71229e-04,4.71229e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.64340e-06,1.34317e-04,2.38075e-07,5.64436e-06,5.63969e-06,4.71229e-04,2.22323e-03,3.61092e-05,4.71309e-04,4.70930e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.63969e-06,1.34283e-04,2.37752e-07,5.64340e-06,5.63002e-06,4.70930e-04,2.22123e-03,3.60715e-05,4.71229e-04,4.70193e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.63002e-06,1.34188e-04,2.36962e-07,5.63969e-06,5.60647e-06,4.70193e-04,2.21621e-03,3.59806e-05,4.70930e-04,4.68497e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.60647e-06,1.33939e-04,2.35174e-07,5.63002e-06,5.55074e-06,4.68497e-04,2.20457e-03,3.57763e-05,4.70193e-04,4.64700e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.55074e-06,1.33293e-04,2.31279e-07,5.60647e-06,5.42278e-06,4.64700e-04,2.17870e-03,3.53312e-05,4.68497e-04,4.56381e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.42278e-06,1.31650e-04,2.23128e-07,5.55074e-06,5.14000e-06,4.56381e-04,2.12398e-03,3.43859e-05,4.64700e-04,4.38527e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.14000e-06,1.27559e-04,2.06886e-07,5.42278e-06,4.54687e-06,4.38527e-04,2.01560e-03,3.24396e-05,4.56381e-04,4.01003e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.54687e-06,1.17676e-04,1.76546e-07,5.14000e-06,3.39355e-06,4.01003e-04,1.82007e-03,2.85950e-05,4.38527e-04,3.24060e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.39355e-06,9.48423e-05,1.24711e-07,4.54687e-06,1.38615e-06,3.24060e-04,1.51232e-03,2.14534e-05,4.01003e-04,1.78728e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.24711e-07,3.39355e-06,4.69473e-09,4.69545e-08,1.76546e-07,2.14534e-05,3.24060e-04,1.15081e-06,9.75816e-06,2.85950e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.76546e-07,4.54687e-06,6.89524e-09,1.24711e-07,2.06886e-07,2.85950e-05,4.01003e-04,1.61558e-06,2.14534e-05,3.24396e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.06886e-07,5.14000e-06,8.31566e-09,1.76546e-07,2.23128e-07,3.24396e-05,4.38527e-04,1.89465e-06,2.85950e-05,3.43859e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.23128e-07,5.42278e-06,9.15048e-09,2.06886e-07,2.31279e-07,3.43859e-05,4.56381e-04,2.04912e-06,3.24396e-05,3.53312e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.31279e-07,5.55074e-06,9.60752e-09,2.23128e-07,2.35174e-07,3.53312e-05,4.64700e-04,2.12984e-06,3.43859e-05,3.57763e-05
